0.0	-5.810297521679912	-0.005810297521679912	-2.990005810297522
0.001	-5.81027453907535	-0.011620572060755261	-2.9900174308695826
0.002	-5.810228573952327	-0.01743080063470759	-2.9900348616702175
0.003	-5.81015962648304	-0.02324096026119063	-2.9900581026304787
0.004	-5.810067696925792	-0.02905102795811642	-2.9900871536584366
0.005	-5.809952785624983	-0.0348609807437414	-2.9901220146391805
0.006	-5.809814893011105	-0.04067079563675251	-2.990162685434817
0.007	-5.809654019600764	-0.04648044965635327	-2.9902091658844734
0.008	-5.809470165996651	-0.05228991982234992	-2.990261455804296
0.009	-5.809263332887562	-0.05809918315523748	-2.990319554987451
0.01	-5.809033521048385	-0.06390821667628586	-2.9903834632041275
0.011	-5.8087807313401125	-0.06971699740762598	-2.990453180201535
0.012	-5.808504964709833	-0.07552550237233581	-2.9905287057039076
0.013	-5.80820622219072	-0.08133370859452653	-2.990610039412502
0.014	-5.807884504902053	-0.08714159309942858	-2.9906971810056016
0.015	-5.807539814049199	-0.09294913291347778	-2.990790130138515
0.016	-5.807172150923619	-0.0987563050644014	-2.9908888864435794
0.017	-5.8067815169028725	-0.10456308658130428	-2.9909934495301607
0.018	-5.806367913450599	-0.11036945449475488	-2.9911038189846555
0.019	-5.8059313421165335	-0.11617538583687141	-2.9912199943704922
0.02	-5.8054718045364995	-0.12198085764140791	-2.9913419752281336
0.021	-5.804989302432407	-0.12778584694384032	-2.9914697610750776
0.022	-5.804483837612249	-0.13359033078145258	-2.991603351405859
0.023	-5.803955411970108	-0.13939428619342267	-2.9917427456920525
0.024	-5.803404027486148	-0.1451976902209088	-2.9918879433822734
0.025	-5.802829686226605	-0.15100051990713542	-2.9920389439021804
0.026	-5.802232390343811	-0.15680275229747923	-2.992195746654478
0.027	-5.801612142076161	-0.1626043644395554	-2.9923583510189173
0.028	-5.800968943748132	-0.16840533338330352	-2.9925267563523006
0.029	-5.800302797770278	-0.1742056361810738	-2.9927009619884815
0.03	-5.799613706639219	-0.18000524988771302	-2.9928809672383694
0.031	-5.798901672937646	-0.18580415156065067	-2.99306677138993
0.032	-5.798166699334324	-0.191602318259985	-2.9932583737081897
0.033	-5.797408788584078	-0.1973997270485691	-2.993455773435238
0.034	-5.796627943527799	-0.2031963549920969	-2.9936589697902303
0.035	-5.795824167092433	-0.20899217915918933	-2.9938679619693893
0.036	-5.794997462290995	-0.21478717662148034	-2.9940827491460107
0.037	-5.794147832222548	-0.22058132445370288	-2.9943033304704643
0.038	-5.793275280072211	-0.22637459973377508	-2.9945297050701982
0.039	-5.792379809111154	-0.23216697954288623	-2.9947618720497413
0.04	-5.791461422696597	-0.23795844096558283	-2.994999830490707
0.041	-5.790520124271803	-0.24374896108985464	-2.9952435794517966
0.042	-5.789555917366077	-0.2495385170072207	-2.995493117968804
0.043	-5.788568805594766	-0.2553270858128155	-2.9957484450546166
0.044	-5.787558792659247	-0.26111464460547473	-2.996009559699222
0.045	-5.786525882346939	-0.2669011704878217	-2.99627646086971
0.046	-5.785470078531282	-0.272686640566353	-2.9965491475102763
0.047	-5.78439138517175	-0.27847103195152473	-2.996827618542228
0.048	-5.783289806313835	-0.28425432175783855	-2.997111872863986
0.049	-5.782165346089048	-0.2900364871039276	-2.99740190935109
0.05	-5.781018008714919	-0.29581750511264254	-2.9976977268562024
0.051	-5.779847798494991	-0.30159735291113754	-2.9979993242091134
0.052	-5.778654719818809	-0.30737600763095635	-2.9983067002167445
0.053	-5.777438777161925	-0.31315344640811826	-2.9986198536631528
0.054	-5.776199975085895	-0.31892964638320415	-2.998938783309536
0.055	-5.774938318238267	-0.3247045847014424	-2.999263487894237
0.056	-5.773653811352585	-0.330478238512795	-2.9995939661327498
0.057	-5.7723464592483715	-0.33625058497204335	-2.999930216717722
0.058	-5.771016266831141	-0.3420216012388745	-3.000272238318961
0.059	-5.769663239092386	-0.3477912644779669	-3.000620029583439
0.06	-5.768287381109566	-0.35355955185907645	-3.000973589135298
0.061	-5.766888698046121	-0.3593264405571226	-3.0013329155758552
0.062	-5.7654671951514445	-0.365091907752274	-3.0016980074836077
0.063	-5.764022877760896	-0.3708559306300349	-3.002068863414238
0.064	-5.762555751295787	-0.3766184863813307	-3.002445481900619
0.065	-5.761065821263381	-0.3823795522025941	-3.002827861452822
0.066	-5.75955309325688	-0.388139105295851	-3.0032160005581177
0.067	-5.758017572955429	-0.3938971228688064	-3.0036098976809864
0.068	-5.756459266124107	-0.3996535821349305	-3.0040095512631213
0.069	-5.754878178613916	-0.40540846031354444	-3.0044149597234346
0.07	-5.753274316361783	-0.41116173462990624	-3.0048261214580645
0.071	-5.751647685390553	-0.4169133823152968	-3.0052430348403796
0.072	-5.749998291808976	-0.4226633806071058	-3.005665698220987
0.073	-5.748326141811706	-0.4284117067489175	-3.006094109927736
0.074	-5.7466312416793	-0.4341583379905968	-3.0065282682657264
0.075	-5.744913597778203	-0.43990325158837496	-3.0069681715173147
0.076	-5.743173216560746	-0.4456464248049357	-3.0074138179421195
0.077	-5.741410104565135	-0.45138783490950085	-3.007865205777029
0.078	-5.739624268415452	-0.4571274591779163	-3.008322333236207
0.079	-5.73781571482164	-0.46286527489273793	-3.0087851985110996
0.08	-5.735984450579502	-0.4686012593433174	-3.009253799770443
0.081	-5.734130482570692	-0.47433538982588813	-3.0097281351602687
0.082	-5.732253817762706	-0.48006764364365084	-3.0102082028039123
0.083	-5.730354463208877	-0.4857979981068597	-3.0106940008020193
0.084	-5.728432426048365	-0.49152643053290807	-3.011185527232552
